IdEmpleado,NivelSatisfaccion,SatisfaccionLaboral_Disc,UltimaEvaluacion,UltimaEvaluacion_Disc,ProyectosRealizados,ProyectosRealizados_Disc,HorasMensuales,HorasMensuales_Disc,Antiguedad,Antiguedad_Disc,AccidentesTrabajo,AccidentesTrabajo_Disc,Ascendido,Ascendido_Disc,AreaTrabajo,NivelSalarial,Renuncia,Renuncia_Disc
1,0.38,Insatisfecho,0.53,Media,2,[2-3],157,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
3,0.11,Insatisfecho,0.88,Excelente,7,[6-7],272,[250-320],4,[2-4],0,NO,0,NO,Ventas,Medio,1,SI
4,0.72,Satisfecho,0.87,Excelente,5,[4-5],223,[200-249],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
5,0.37,Insatisfecho,0.52,Media,2,[2-3],159,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
6,0.41,Insatisfecho,0.5,Media,2,[2-3],153,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
8,0.92,Satisfecho,0.85,Excelente,5,[4-5],259,[250-320],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
9,0.89,Satisfecho,1,Excelente,5,[4-5],224,[200-249],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
11,0.45,Insatisfecho,0.54,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
14,0.41,Insatisfecho,0.55,Media,2,[2-3],148,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
15,0.36,Insatisfecho,0.56,Media,2,[2-3],137,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
16,0.38,Insatisfecho,0.54,Media,2,[2-3],143,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
17,0.45,Insatisfecho,0.47,Media,2,[2-3],160,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
19,0.45,Insatisfecho,0.51,Media,2,[2-3],160,[150-199],3,[2-4],1,SI,1,SI,Ventas,Bajo,1,SI
20,0.76,Satisfecho,0.89,Excelente,5,[4-5],262,[250-320],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
22,0.38,Insatisfecho,0.55,Media,2,[2-3],147,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
23,0.09,Insatisfecho,0.95,Excelente,6,[6-7],304,[250-320],4,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
24,0.46,Insatisfecho,0.57,Media,2,[2-3],139,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
25,0.4,Insatisfecho,0.53,Media,2,[2-3],158,[150-199],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
26,0.89,Satisfecho,0.92,Excelente,5,[4-5],242,[200-249],5,[5-7],0,NO,0,NO,Ventas,Bajo,1,SI
28,0.4,Insatisfecho,0.49,Media,2,[2-3],135,[90-149],3,[2-4],0,NO,0,NO,Ventas,Bajo,1,SI
29,0.41,Insatisfecho,0.46,Media,2,[2-3],128,[90-149],3,[2-4],0,NO,0,NO,Contabilidad,Bajo,1,SI
30,0.38,Insatisfecho,0.5,Media,2,[2-3],132,[90-149],3,[2-4],0,NO,0,NO,Contabilidad,Bajo,1,SI
31,0.09,Insatisfecho,0.62,Buena,6,[6-7],294,[250-320],4,[2-4],0,NO,0,NO,Contabilidad,Bajo,1,SI
32,0.45,Insatisfecho,0.57,Media,2,[2-3],134,[90-149],3,[2-4],0,NO,0,NO,RRHH,Bajo,1,SI
34,0.45,Insatisfecho,0.55,Media,2,[2-3],140,[90-149],3,[2-4],0,NO,0,NO,RRHH,Bajo,1,SI
