1,ToyStory(1995),Adventure,Animation,Children,Comedy,Fantasy,,,
2,Jumanji(1995),Adventure,Children,Fantasy,,,,,
3,GrumpierOldMen(1995),Comedy,Romance,,,,,,
4,WaitingtoExhale(1995),Comedy,Drama,Romance,,,,,
5,FatheroftheBridePartII(1995),Comedy,,,,,,,
6,Heat(1995),Action,Crime,Thriller,,,,,
7,Sabrina(1995),Comedy,Romance,,,,,,
8,TomandHuck(1995),Adventure,Children,,,,,,
9,SuddenDeath(1995),Action,,,,,,,
10,GoldenEye(1995),Action,Adventure,Thriller,,,,,
11,TheAmericanPresident(1995),Comedy,Drama,Romance,,,,,
12,Dracula,,,,,,,,
13,Balto(1995),Animation,Children,,,,,,
14,Nixon(1995),Drama,,,,,,,
15,CutthroatIsland(1995),Action,Adventure,Romance,,,,,
16,Casino(1995),Crime,Drama,,,,,,
17,SenseandSensibility(1995),Comedy,Drama,Romance,,,,,
18,FourRooms(1995),Comedy,Drama,Thriller,,,,,
19,AceVentura,,,,,,,,
20,MoneyTrain(1995),Action,Comedy,Crime,Drama,Thriller,,,
21,GetShorty(1995),Action,Comedy,Drama,,,,,
22,Copycat(1995),Crime,Drama,Horror,Mystery,Thriller,,,
23,Assassins(1995),Action,Crime,Thriller,,,,,
24,Powder(1995),Drama,Sci-Fi,,,,,,
25,LeavingLasVegas(1995),Drama,Romance,,,,,,
26,Othello(1995),Drama,,,,,,,
27,NowandThen(1995),Drama,,,,,,,
28,Persuasion(1995),Drama,Romance,,,,,,
29,CityofLostChildren,The(CitédesenfantsperdusLa)(1995),Adventure,Drama,Fantasy,Mystery,Sci-Fi,,,
30,ShanghaiTriad(Yaoayaoyaodaowaipoqiao)(1995),Crime,Drama,,,,,,
31,DangerousMinds(1995),Drama,,,,,,,
32,12Monkeys(TwelveMonkeys)(1995),Sci-Fi,Thriller,,,,,,
33,WingsofCourage(1995),Adventure,IMAX,Romance,,,,,
34,Babe(1995),Children,Comedy,Drama,Fantasy,,,,
35,Carrington(1995),Drama,Romance,,,,,,
36,DeadManWalking(1995),Crime,Drama,,,,,,
37,AcrosstheSeaofTime(1995),Documentary,IMAX,,,,,,
38,ItTakesTwo(1995),Comedy,,,,,,,
39,Clueless(1995),Comedy,Romance,,,,,,
40,Cry,theBelovedCountry(1995),Drama,,,,,,,
41,RichardIII(1995),Drama,War,,,,,,
42,DeadPresidents(1995),Action,Crime,Drama,,,,,
43,Restoration(1995),Drama,,,,,,,
44,MortalKombat(1995),Action,Adventure,Fantasy,,,,,
45,ToDieFor(1995),Comedy,Drama,Thriller,,,,,
46,HowtoMakeanAmericanQuilt(1995),Drama,Romance,,,,,,
47,Seven(a.k.a.Se7en)(1995),Crime,Horror,Mystery,Thriller,,,,
48,Pocahontas(1995),Animation,Children,Musical,Romance,,,,
49,WhenNightIsFalling(1995),Drama,Romance,,,,,,
50,UsualSuspects,The(1995),Crime,Mystery,Thriller,,,,,
51,GuardianAngel(1994),Action,Drama,Thriller,,,,,
52,MightyAphrodite(1995),Comedy,Drama,Romance,,,,,
53,Lamerica(1994),Adventure,Drama,,,,,,
54,BigGreen,The(1995),Children,Comedy,,,,,,
55,Georgia(1995),Drama,,,,,,,
56,KidsoftheRoundTable(1995),Adventure,Children,Fantasy,,,,,
57,HomefortheHolidays(1995),Drama,,,,,,,
58,Postman,The(Postino,Il)(1994),Comedy,Drama,Romance,,,,,
59,Confessional,The(Confessionnal,Le)(1995),Drama,Mystery,,,,,,
60,IndianintheCupboard,The(1995),Adventure,Children,Fantasy,,,,,
61,EyeforanEye(1996),Drama,Thriller,,,,,,
62,Mr.Holland'sOpus(1995),Drama,,,,,,,
63,Don'tBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood(1996),Comedy,Crime,,,,,,
64,TwoifbySea(1996),Comedy,Romance,,,,,,
65,Bio-Dome(1996),Comedy,,,,,,,
66,LawnmowerMan2,,,,,,,,
67,TwoBits(1995),Drama,,,,,,,
68,FrenchTwist(Gazonmaudit)(1995),Comedy,Romance,,,,,,
69,Friday(1995),Comedy,,,,,,,
70,FromDuskTillDawn(1996),Action,Comedy,Horror,Thriller,,,,
71,FairGame(1995),Action,,,,,,,
72,KickingandScreaming(1995),Comedy,Drama,,,,,,
73,Misérables,Les(1995),Drama,War,,,,,,
74,BedofRoses(1996),Drama,Romance,,,,,,
75,BigBully(1996),Comedy,Drama,,,,,,
76,Screamers(1995),Action,Sci-Fi,Thriller,,,,,
77,NicoIcon(1995),Documentary,,,,,,,
78,CrossingGuard,The(1995),Drama,,,,,,,
79,Juror,The(1996),Drama,Thriller,,,,,,
80,WhiteBalloon,The(Badkonakesefid)(1995),Children,Drama,,,,,,
81,ThingstoDoinDenverWhenYou'reDead(1995),Crime,Drama,Romance,,,,,
82,Antonia'sLine(Antonia)(1995),Comedy,Drama,,,,,,
83,OnceUponaTime...WhenWeWereColored(1995),Drama,,,,,,,
84,LastSummerintheHamptons(1995),Comedy,Drama,,,,,,
85,AngelsandInsects(1995),Drama,Romance,,,,,,
86,WhiteSquall(1996),Adventure,Drama,,,,,,
87,DunstonChecksIn(1996),Children,Comedy,,,,,,
88,BlackSheep(1996),Comedy,,,,,,,
89,NickofTime(1995),Action,Thriller,,,,,,
90,JourneyofAugustKing,The(1995),Drama,,,,,,,
92,MaryReilly(1996),Drama,Horror,Thriller,,,,,
93,VampireinBrooklyn(1995),Comedy,Romance,,,,,,
94,BeautifulGirls(1996),Comedy,Drama,Romance,,,,,
95,BrokenArrow(1996),Action,Adventure,Thriller,,,,,
96,IntheBleakMidwinter(1995),Comedy,Drama,,,,,,
97,Hate(Haine,La)(1995),Drama,,,,,,,
98,Shopping(1994),Action,Thriller,,,,,,
99,HeidiFleiss,,,,,,,,
100,CityHall(1996),Drama,Thriller,,,,,,
101,BottleRocket(1996),Adventure,Comedy,Crime,Romance,,,,
102,Mr.Wrong(1996),Comedy,,,,,,,
103,Unforgettable(1996),Mystery,Sci-Fi,Thriller,,,,,
104,HappyGilmore(1996),Comedy,,,,,,,
105,BridgesofMadisonCounty,The(1995),Drama,Romance,,,,,,
106,NobodyLovesMe(Keinerliebtmich)(1994),Comedy,Drama,,,,,,
107,MuppetTreasureIsland(1996),Adventure,Children,Comedy,Musical,,,,
108,Catwalk(1996),Documentary,,,,,,,
109,HeadlessBodyinToplessBar(1995),Comedy,,,,,,,
110,Braveheart(1995),Action,Drama,War,,,,,
111,TaxiDriver(1976),Crime,Drama,Thriller,,,,,
112,RumbleintheBronx(Hontfaankui)(1995),Action,Adventure,Comedy,Crime,,,,
113,BeforeandAfter(1996),Drama,Mystery,,,,,,
114,Margaret'sMuseum(1995),Drama,,,,,,,
115,HappinessIsintheField(Bonheurestdanslepré,Le)(1995),Comedy,,,,,,,
116,AnneFrankRemembered(1995),Documentary,,,,,,,
117,YoungPoisoner'sHandbook,The(1995),Crime,Drama,,,,,,
118,IfLucyFell(1996),Comedy,Romance,,,,,,
119,StealBig,StealLittle(1995),Comedy,,,,,,,
120,RacetheSun(1996),Drama,,,,,,,
121,BoysofSt.Vincent,The(1992),Drama,,,,,,,
122,Boomerang(1992),Comedy,Romance,,,,,,
123,ChungkingExpress(ChóngqìngSenlín)(1994),Drama,Mystery,Romance,,,,,
124,StarMaker,The(L'Uomodellestelle)(1995),Drama,,,,,,,
125,FlirtingWithDisaster(1996),Comedy,,,,,,,
126,NeverEndingStoryIII,The(1994),Adventure,Children,Fantasy,,,,,
127,SilenceofthePalace,The(SaimtelQusur)(1994),Drama,,,,,,,
128,Jupiter'sWife(1994),Documentary,,,,,,,
129,PieintheSky(1996),Comedy,Romance,,,,,,
130,Angela(1995),Drama,,,,,,,
131,FrankieStarlight(1995),Drama,Romance,,,,,,
132,Jade(1995),Thriller,,,,,,,
133,NuebaYol(1995),Comedy,Drama,,,,,,
134,SonicOutlaws(1995),Documentary,,,,,,,
135,DownPeriscope(1996),Comedy,,,,,,,
136,FromtheJournalsofJeanSeberg(1995),Documentary,,,,,,,
137,ManoftheYear(1995),Documentary,,,,,,,
138,NeonBible,The(1995),Drama,,,,,,,
139,Target(1995),Action,Drama,,,,,,
140,UpCloseandPersonal(1996),Drama,Romance,,,,,,
141,Birdcage,The(1996),Comedy,,,,,,,
142,Shadows(Cienie)(1988),Drama,,,,,,,
143,Gospa(1995),Drama,,,,,,,
144,BrothersMcMullen,The(1995),Comedy,,,,,,,
145,BadBoys(1995),Action,,,,,,,
146,AmazingPandaAdventure,The(1995),Adventure,Children,,,,,,
147,BasketballDiaries,The(1995),Drama,,,,,,,
148,AwfullyBigAdventure,An(1995),Drama,,,,,,,
149,Amateur(1994),Crime,Drama,Thriller,,,,,
150,Apollo13(1995),Adventure,Drama,,,,,,
151,RobRoy(1995),Action,Drama,Romance,War,,,,
152,Addiction,The(1995),Drama,Horror,,,,,,
153,BatmanForever(1995),Action,Adventure,Comedy,Crime,,,,
154,Belledejour(1967),Drama,,,,,,,
155,BeyondRangoon(1995),Adventure,Drama,War,,,,,
156,BlueintheFace(1995),Comedy,Drama,,,,,,
157,CanadianBacon(1995),Comedy,War,,,,,,
158,Casper(1995),Adventure,Children,,,,,,
159,Clockers(1995),Crime,Drama,Mystery,,,,,
160,Congo(1995),Action,Adventure,Mystery,Sci-Fi,,,,
161,CrimsonTide(1995),Drama,Thriller,War,,,,,
162,Crumb(1994),Documentary,,,,,,,
163,Desperado(1995),Action,Romance,Thriller,,,,,
164,DevilinaBlueDress(1995),Crime,Film-Noir,Mystery,Thriller,,,,
165,DieHard,,,,,,,,
166,DoomGeneration,The(1995),Comedy,Crime,Drama,,,,,
167,FeastofJuly(1995),Drama,,,,,,,
168,FirstKnight(1995),Action,Drama,Romance,,,,,
169,FreeWilly2,,,,,,,,
170,Hackers(1995),Action,Adventure,Crime,Thriller,,,,
171,Jeffrey(1995),Comedy,Drama,,,,,,
172,JohnnyMnemonic(1995),Action,Sci-Fi,Thriller,,,,,
173,JudgeDredd(1995),Action,Crime,Sci-Fi,,,,,
174,JuryDuty(1995),Comedy,,,,,,,
175,Kids(1995),Drama,,,,,,,
176,LivinginOblivion(1995),Comedy,,,,,,,
177,LordofIllusions(1995),Horror,,,,,,,
178,Love&HumanRemains(1993),Comedy,Drama,,,,,,
179,MadLove(1995),Drama,Romance,,,,,,
180,Mallrats(1995),Comedy,,,,,,,
181,MightyMorphinPowerRangers,,,,,,,,
182,MoonlightandValentino(1995),Drama,Romance,,,,,,
183,MuteWitness(1994),Comedy,Horror,Thriller,,,,,
184,Nadja(1994),Drama,,,,,,,
185,Net,The(1995),Action,Crime,Thriller,,,,,
186,NineMonths(1995),Comedy,Romance,,,,,,
187,PartyGirl(1995),Comedy,,,,,,,
188,Prophecy,The(1995),Fantasy,Horror,Mystery,,,,,
189,Reckless(1995),Comedy,Fantasy,,,,,,
190,Safe(1995),Thriller,,,,,,,
191,ScarletLetter,The(1995),Drama,Romance,,,,,,
192,Show,The(1995),Documentary,,,,,,,
193,Showgirls(1995),Drama,,,,,,,
194,Smoke(1995),Comedy,Drama,,,,,,
195,SomethingtoTalkAbout(1995),Comedy,Drama,Romance,,,,,
196,Species(1995),Horror,Sci-Fi,,,,,,
197,StarsFellonHenrietta,The(1995),Drama,,,,,,,
198,StrangeDays(1995),Action,Crime,Drama,Mystery,Sci-Fi,Thriller,,
199,UmbrellasofCherbourg,The(ParapluiesdeCherbourg,Les)(1964),Drama,Musical,,,,,,
200,TieThatBinds,The(1995),Thriller,,,,,,,
201,ThreeWishes(1995),Drama,,,,,,,
202,TotalEclipse(1995),Drama,Romance,,,,,,
203,ToWongFoo,ThanksforEverything!JulieNewmar(1995),Comedy,,,,,,,
204,UnderSiege2,,,,,,,,
205,UnstrungHeroes(1995),Comedy,Drama,,,,,,
206,Unzipped(1995),Documentary,,,,,,,
207,WalkintheClouds,A(1995),Drama,Romance,,,,,,
208,Waterworld(1995),Action,Adventure,Sci-Fi,,,,,
209,WhiteMan'sBurden(1995),Drama,,,,,,,
210,WildBill(1995),Western,,,,,,,
211,BrowningVersion,The(1994),Drama,,,,,,,
212,Bushwhacked(1995),Adventure,Comedy,Crime,Mystery,,,,
213,BurntbytheSun(Utomlyonnyesolntsem)(1994),Drama,,,,,,,
214,BeforetheRain(Preddozhdot)(1994),Drama,War,,,,,,
215,BeforeSunrise(1995),Drama,Romance,,,,,,
216,BillyMadison(1995),Comedy,,,,,,,
217,Babysitter,The(1995),Drama,Thriller,,,,,,
218,BoysontheSide(1995),Comedy,Drama,,,,,,
219,Cure,The(1995),Drama,,,,,,,
220,CastleFreak(1995),Horror,,,,,,,
222,CircleofFriends(1995),Drama,Romance,,,,,,
223,Clerks(1994),Comedy,,,,,,,
224,DonJuanDeMarco(1995),Comedy,Drama,Romance,,,,,
225,Disclosure(1994),Drama,Thriller,,,,,,
226,DreamMan(1995),Thriller,,,,,,,
227,DropZone(1994),Action,Thriller,,,,,,
228,DestinyTurnsontheRadio(1995),Comedy,,,,,,,
229,DeathandtheMaiden(1994),Drama,Thriller,,,,,,
230,DoloresClaiborne(1995),Drama,Thriller,,,,,,
231,Dumb&Dumber(1994),Comedy,,,,,,,
232,EatDrinkManWoman(Yinshinannu)(1994),Comedy,Drama,Romance,,,,,
233,Exotica(1994),Drama,,,,,,,
234,ExittoEden(1994),Comedy,,,,,,,
235,EdWood(1994),Comedy,Drama,,,,,,
236,FrenchKiss(1995),Action,Comedy,Romance,,,,,
237,ForgetParis(1995),Comedy,Romance,,,,,,
238,FarFromHome,,,,,,,,
239,GoofyMovie,A(1995),Animation,Children,Comedy,Romance,,,,
240,Hideaway(1995),Thriller,,,,,,,
241,Fluke(1995),Children,Drama,,,,,,
242,Farinelli,,,,,,,,
243,Gordy(1995),Comedy,,,,,,,
